RecID,Base securable,Granular permissions on base securable,Permission type code,Securable that contains base securable,Permission on container securable that implies granular permission on base securable    
1,APPLICATION ROLE,ALTER,AL,DATABASE,ALTER ANY APPLICATION ROLE    
2,APPLICATION ROLE,CONTROL,CL,DATABASE,CONTROL    
3,APPLICATION ROLE,VIEW DEFINITION,VW,DATABASE,VIEW DEFINITION    
4,ASSEMBLY,ALTER,AL,DATABASE,ALTER ANY ASSEMBLY    
5,ASSEMBLY,CONTROL,CL,DATABASE,CONTROL    
6,ASSEMBLY,REFERENCES,RF,DATABASE,REFERENCES    
7,ASSEMBLY,TAKE OWNERSHIP,TO,DATABASE,CONTROL    
8,ASSEMBLY,VIEW DEFINITION,VW,DATABASE,VIEW DEFINITION    
9,ASYMMETRIC KEY,ALTER,AL,DATABASE,ALTER ANY ASYMMETRIC KEY
10,ASYMMETRIC KEY,CONTROL,CL,DATABASE,CONTROL
11,ASYMMETRIC KEY,REFERENCES,RF,DATABASE,REFERENCES
12,ASYMMETRIC KEY,TAKE OWNERSHIP,TO,DATABASE,CONTROL
13,ASYMMETRIC KEY,VIEW DEFINITION,VW,DATABASE,VIEW DEFINITION
14,AVAILABILITY GROUP,ALTER,AL,SERVER,ALTER ANY AVAILABILITY GROUP
15,AVAILABILITY GROUP,CONTROL,CL,SERVER,CONTROL SERVER
16,AVAILABILITY GROUP,TAKE OWNERSHIP,TO,SERVER,CONTROL SERVER
17,AVAILABILITY GROUP,VIEW DEFINITION,VW,SERVER,VIEW ANY DEFINITION
18,CERTIFICATE,ALTER,AL,DATABASE,ALTER ANY CERTIFICATE
19,CERTIFICATE,CONTROL,CL,DATABASE,CONTROL
20,CERTIFICATE,REFERENCES,RF,DATABASE,REFERENCES
21,CERTIFICATE,TAKE OWNERSHIP,TO,DATABASE,CONTROL
22,CERTIFICATE,VIEW DEFINITION,VW,DATABASE,VIEW DEFINITION
23,CONTRACT,ALTER,AL,DATABASE,ALTER ANY CONTRACT
24,CONTRACT,CONTROL,CL,DATABASE,CONTROL
25,CONTRACT,REFERENCES,RF,DATABASE,REFERENCES
26,CONTRACT,TAKE OWNERSHIP,TO,DATABASE,CONTROL
27,CONTRACT,VIEW DEFINITION,VW,DATABASE,VIEW DEFINITION
28,CREDENTIAL,CONTROL,CL,SERVER,CONTROL SERVER
29,CREDENTIAL,REFERENCES,RF,SERVER,ALTER ANY CREDENTIAL
30,DATABASE,ADMINISTER DATABASE BULK OPERATIONS,DABO,SERVER,CONTROL SERVER
31,DATABASE,ALTER,AL,SERVER,ALTER ANY DATABASE
32,DATABASE,ALTER ANY APPLICATION ROLE,ALAR,SERVER,CONTROL SERVER
33,DATABASE,ALTER ANY ASSEMBLY,ALAS,SERVER,CONTROL SERVER
34,DATABASE,ALTER ANY ASYMMETRIC KEY,ALAK,SERVER,CONTROL SERVER
35,DATABASE,ALTER ANY CERTIFICATE,ALCF,SERVER,CONTROL SERVER
36,ATABASE,ALTER ANY COLUMN ENCRYPTION KEY,ALCK,SERVER,CONTROL SERVER
37,DATABASE,ALTER ANY COLUMN MASTER KEY,ALCM,SERVER,CONTROL SERVER
38,DATABASE,ALTER ANY CONTRACT,ALSC,SERVER,CONTROL SERVER
39,DATABASE,ALTER ANY DATABASE AUDIT,ALDA,SERVER,ALTER ANY SERVER AUDIT
40,DATABASE,ALTER ANY DATABASE DDL TRIGGER,ALTG,SERVER,CONTROL SERVER
41,DATABASE,ALTER ANY DATABASE EVENT NOTIFICATION,ALED,SERVER,ALTER ANY EVENT NOTIFICATION
42,DATABASE,ALTER ANY DATABASE EVENT SESSION,AADS,SERVER,ALTER ANY EVENT SESSION
43,DATABASE,ALTER ANY DATABASE EVENT SESSION ADD EVENT,LDAE,SERVER,ALTER ANY EVENT SESSION ADD EVENT
44,DATABASE,ALTER ANY DATABASE EVENT SESSION ADD TARGET,LDAT,SERVER,ALTER ANY EVENT SESSION ADD TARGET
45,DATABASE,ALTER ANY DATABASE EVENT SESSION DISABLE,DDES,SERVER,ALTER ANY EVENT SESSION DISABLE
46,DATABASE,ALTER ANY DATABASE EVENT SESSION DROP EVENT,LDDE,SERVER,ALTER ANY EVENT SESSION DROP EVENT
47,DATABASE,ALTER ANY DATABASE EVENT SESSION DROP TARGET,LDDT,SERVER,ALTER ANY EVENT SESSION DROP TARGET
48,DATABASE,ALTER ANY DATABASE EVENT SESSION ENABLE,EDES,SERVER,ALTER ANY EVENT SESSION ENABLE
49,DATABASE,ALTER ANY DATABASE EVENT SESSION OPTION,LDSO,SERVER,ALTER ANY EVENT SESSION OPTION
50,DATABASE,ALTER ANY DATABASE SCOPED CONFIGURATION,ALDC,SERVER,CONTROL SERVER
51,DATABASE,ALTER ANY DATASPACE,ALDS,SERVER,CONTROL SERVER
52,DATABASE,ALTER ANY EXTERNAL DATA SOURCE,AEDS,SERVER,CONTROL SERVER
53,DATABASE,ALTER ANY EXTERNAL FILE FORMAT,AEFF,SERVER,CONTROL SERVER
54,DATABASE,ALTER ANY EXTERNAL JOB,AESJ,SERVER,CONTROL SERVER
55,DATABASE,ALTER ANY EXTERNAL LANGUAGE,ALLA,SERVER,CONTROL SERVER
56,DATABASE,ALTER ANY EXTERNAL LIBRARY,ALEL,SERVER,CONTROL SERVER
57,DATABASE,ALTER ANY EXTERNAL STREAM,AEST,SERVER,CONTROL SERVER
58,DATABASE,ALTER ANY FULLTEXT CATALOG,ALFT,SERVER,CONTROL SERVER
